date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:36	1120541/1120541	---M--	200	added ('OK')	image/png	etag:%2211191d-59b3837d939ae%22	https://demo2.tokomoo.com/livre/wp-content/uploads/sites/16/2019/06/animal-book.png	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/uploads/sites/16/2019/06/animal-book.png	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:37	469503/469503	---M--	200	added ('OK')	image/png	etag:%22729ff-59b3837e0fa21%22	https://demo2.tokomoo.com/livre/wp-content/uploads/sites/16/2019/06/animal-book-2.png	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/uploads/sites/16/2019/06/animal-book-2.png	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:37	8148/8148	---M--	200	added ('OK')	image/png	etag:%221fd4-59b3837d3abc0%22	https://demo2.tokomoo.com/livre/wp-content/uploads/sites/16/2019/06/1.png	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/uploads/sites/16/2019/06/1.png	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:37	7507/7507	---M--	200	added ('OK')	image/png	etag:%221d53-59b3837d8bcad%22	https://demo2.tokomoo.com/livre/wp-content/uploads/sites/16/2019/06/2.png	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/uploads/sites/16/2019/06/2.png	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:37	9174/9174	---M--	200	added ('OK')	image/png	etag:%2223d6-59b3837d59025%22	https://demo2.tokomoo.com/livre/wp-content/uploads/sites/16/2019/06/3.png	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/uploads/sites/16/2019/06/3.png	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:37	9989/9989	---M--	200	added ('OK')	image/png	etag:%222705-59b3837d5af65%22	https://demo2.tokomoo.com/livre/wp-content/uploads/sites/16/2019/06/5.png	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/uploads/sites/16/2019/06/5.png	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:38	6280/6280	---M--	200	added ('OK')	image/png	etag:%221888-59b3837d67a87%22	https://demo2.tokomoo.com/livre/wp-content/uploads/sites/16/2019/06/6.png	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/uploads/sites/16/2019/06/6.png	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:38	9637/9637	---M--	200	added ('OK')	image/png	etag:%2225a5-59b3837e07d20%22	https://demo2.tokomoo.com/livre/wp-content/uploads/sites/16/2019/06/7.png	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/uploads/sites/16/2019/06/7.png	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:38	13608/13608	---M--	200	added ('OK')	image/png	etag:%223528-59b3837d8300b%22	https://demo2.tokomoo.com/livre/wp-content/uploads/sites/16/2019/06/8.png	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/uploads/sites/16/2019/06/8.png	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:38	7013/7013	---M--	200	added ('OK')	image/png	etag:%221b65-59b3837d428c1%22	https://demo2.tokomoo.com/livre/wp-content/uploads/sites/16/2019/06/10.png	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/uploads/sites/16/2019/06/10.png	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:39	38779/38779	---M--	200	added ('OK')	image/jpeg	etag:%22977b-59b38378f1095%22	https://demo2.tokomoo.com/livre/wp-content/uploads/sites/16/2017/11/team-10-2.jpg	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/uploads/sites/16/2017/11/team-10-2.jpg	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:39	32571/32571	---M--	200	added ('OK')	image/jpeg	etag:%227f3b-59b383792f89f%22	https://demo2.tokomoo.com/livre/wp-content/uploads/sites/16/2017/11/team-9-2.jpg	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/uploads/sites/16/2017/11/team-9-2.jpg	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:39	3287/3287	---MCZ	200	added ('OK')	text/css	etag:W/%22cd7-5c8df6540ca2c%22	https://demo2.tokomoo.com/livre/wp-content/plugins/woocommerce/assets/css/photoswipe/photoswipe.min.css?ver=5.5.2	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/plugins/woocommerce/assets/css/photoswipe/photoswipe.min4245.css	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:39	7887/7887	---MCZ	200	added ('OK')	text/css	etag:W/%221ecf-5c8df6540ca2c%22	https://demo2.tokomoo.com/livre/wp-content/plugins/woocommerce/assets/css/photoswipe/default-skin/default-skin.min.css?ver=5.5.2	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/plugins/woocommerce/assets/css/photoswipe/default-skin/default-skin.min4245.css	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
